,0,1,2,3,4,5,6,7,8,9
year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0
healthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0
process,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0
days,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0
trying,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0
old,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0
five,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0
finds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0
positives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0
recalled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0
johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0
among,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0
seniors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0
fda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0
addition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0
dear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117
hospitalization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038
preventing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021
study,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
rapid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018
