,0,1,2,3,4,5,6,7,8,9
updated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.041,0.0
died,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.048,0.023
effective,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0
especially,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0
used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0
disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
contract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023
fight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017
cdc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016
pandemic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016
completely,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014
edt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013
